r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order
0.0,0.0,0.0,-0.03,10.307435989379883,3.048,-2.60858,6.4107,0.12129107664555241,0.9925935974311225,-0.006813594125387023,l-003,0.0
0.0,0.005,0.0,-0.03,15.402073860168457,3.048,-2.61009,6.60059,0.16589381524516267,0.9861434867930222,-0.0005152854591056654,s0005l-003,1.0
0.0,0.01,0.0,-0.03,19.788660049438477,3.048,-2.61009,6.60059,0.18266930583587154,0.9831744114945765,-3.588501327944118e-05,s001l-003,2.0
0.015,0.0,0.0,-0.03,15.415855407714844,3.048,-2.61009,6.60059,0.48420332891532103,0.057829745622290804,-0.873042299541427,r0015l-003,3.0
0.015,0.005,0.0,-0.03,19.249279022216797,3.048,-2.61009,6.60059,0.3654816834030963,0.9278759910514018,-0.07395460991187675,r0015s0005l-003,4.0
0.015,0.01,0.0,-0.03,23.69430160522461,3.048,-2.61009,6.60059,0.9342532722830051,0.35661013417629595,0.0001882319346117966,r0015s001l-003,5.0
0.03,0.0,0.0,-0.03,27.527496337890625,3.048,-2.61009,6.60059,0.35579763905354084,0.012583123253569688,-0.9344783063576765,r003l-003,6.0
0.03,0.005,0.0,-0.03,31.39420509338379,3.048,-2.61009,6.60059,-0.6704260923309663,-0.02366440167015089,-0.7415988476362572,r003s0005l-003,7.0
0.03,0.01,0.0,-0.03,32.84672546386719,3.048,-2.61009,6.60059,-0.935957756196121,-0.08165051487564803,0.3425146303982708,r003s001l-003,8.0
0.0,0.0,0.0067,-0.03,17.548948287963867,3.048,-2.60858,6.4107,0.2592489114570973,0.9657565898737165,-0.010208380077198603,t00067l-003,9.0
0.0,0.005,0.0067,-0.03,21.38800621032715,3.048,-2.61009,6.60059,0.16724879175856544,0.9859144770620986,0.00069683187978379,s0005t00067l-003,10.0
0.0,0.01,0.0067,-0.03,24.93058204650879,3.048,-2.61009,6.60059,0.8752458302043853,0.483660496846811,0.004154575758424435,s001t00067l-003,11.0
0.015,0.0,0.0067,-0.03,17.52988624572754,3.048,-2.61009,6.60059,0.8445277825927157,0.4967609457602424,-0.2000034679609844,r0015t00067l-003,12.0
0.015,0.005,0.0067,-0.03,23.337261199951172,3.048,-2.61009,6.60059,0.9330101063493318,0.35984730928383135,-0.0014336844824597611,r0015s0005t00067l-003,13.0
0.015,0.01,0.0067,-0.03,26.982181549072266,3.048,-2.61009,6.60059,0.7916640961408452,0.6109358871237374,0.00502998069880746,r0015s001t00067l-003,14.0
0.03,0.0,0.0067,-0.03,29.3541202545166,3.048,-2.61009,6.60059,0.6048041404065847,0.030741278654739215,-0.7957807019108492,r003t00067l-003,15.0
0.03,0.005,0.0067,-0.03,32.24209213256836,3.048,-2.61009,6.60059,-0.9876258833445388,-0.10314243943986666,-0.11813869702308641,r003s0005t00067l-003,16.0
0.03,0.01,0.0067,-0.03,33.35138702392578,3.048,-2.61009,6.60059,-0.9726946687466045,-0.23039216039965613,0.02800953084777683,r003s001t00067l-003,17.0
0.0,0.0,0.0133,-0.03,14.282082557678223,3.048,-2.60858,6.4107,0.21734538158460553,0.9760927990142908,-0.0019577579751805197,t00133l-003,18.0
0.0,0.005,0.0133,-0.03,18.43108558654785,3.048,-2.61009,6.60059,0.9490618711917337,0.3150886608576329,-0.0008369283057027256,s0005t00133l-003,19.0
0.0,0.01,0.0133,-0.03,22.021928787231445,3.048,-2.61009,6.60059,0.7435969428582909,0.6685326858884868,0.011297542676593428,s001t00133l-003,20.0
0.015,0.0,0.0133,-0.03,16.463947296142578,3.048,-2.61009,6.60059,0.6868531119389379,0.1433780595083488,-0.7125135329742286,r0015t00133l-003,21.0
0.015,0.005,0.0133,-0.03,20.650447845458984,3.048,-2.61009,6.60059,0.871131023039281,0.49099464123927683,0.0074163989138516665,r0015s0005t00133l-003,22.0
0.015,0.01,0.0133,-0.03,25.624391555786133,-0.132109,-2.95151,5.759958,0.6972832482202822,0.7167938197922976,-0.001640627605376863,r0015s001t00133l-003,23.0
0.03,0.0,0.0133,-0.03,28.32807159423828,3.048,-2.61009,6.60059,0.4349888322564695,0.01825813693566112,-0.9002507185488894,r003t00133l-003,24.0
0.03,0.005,0.0133,-0.03,31.284656524658203,3.048,-2.61009,6.60059,-0.9925813231377848,-0.11522637224384538,0.03879690835062982,r003s0005t00133l-003,25.0
0.03,0.01,0.0133,-0.03,34.55251693725586,-0.133193,-2.952593,6.349957,0.7238493381910877,0.6899228197819411,0.006974119618956763,r003s001t00133l-003,26.0
0.0,0.0,0.02,-0.03,10.968108177185059,3.048,-2.60858,6.4107,0.16191906823876134,0.9862539921614656,-0.032943562136831944,t002l-003,27.0
0.0,0.005,0.02,-0.03,15.464756965637207,3.048,-2.61009,6.60059,0.7424743971350215,0.6698608627468995,0.004265461166830558,s0005t002l-003,28.0
0.0,0.01,0.02,-0.03,22.376842498779297,-0.132109,-2.95151,5.759958,0.6928440089138127,0.7208241238040684,0.019487479424844408,s001t002l-003,29.0
